method_id,view,n,arm,stratum_id,planned_blocks,full_complete_blocks,arm_complete_blocks,intersection_complete_blocks,full_mean_on_intersection,arm_mean_on_intersection,arm_minus_full_mean_on_intersection,uncertainty
cosine_distance_v1,retained_prose,4,hash75,stratum-01,10,10,7,7,0.9285714285714286,0.8214285714285714,-0.10714285714285714,"{""contributing_blocks"":7,""contributing_independent_units"":7,""estimate"":-0.10714285714285714,""executed_repetitions"":10000,""minimum_independent_units"":5,""missing_replicates"":6,""percentile_interval_95"":null,""reason"":""missing_bootstrap_statistics_no_silent_reweighting"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,retained_prose,4,hash75,stratum-02,10,10,6,6,0.6666666666666666,0.6666666666666666,0.0,"{""contributing_blocks"":6,""contributing_independent_units"":6,""estimate"":0.0,""executed_repetitions"":10000,""minimum_independent_units"":5,""missing_replicates"":10,""percentile_interval_95"":null,""reason"":""missing_bootstrap_statistics_no_silent_reweighting"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,retained_prose,4,hash75,stratum-03,10,10,8,8,0.71875,0.75,0.03125,"{""contributing_blocks"":8,""contributing_independent_units"":8,""estimate"":0.03125,""executed_repetitions"":10000,""minimum_independent_units"":5,""missing_replicates"":1,""percentile_interval_95"":null,""reason"":""missing_bootstrap_statistics_no_silent_reweighting"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,retained_prose,4,hash50,stratum-01,10,10,0,0,,,,"{""contributing_blocks"":0,""contributing_independent_units"":0,""estimate"":null,""executed_repetitions"":0,""minimum_independent_units"":5,""missing_replicates"":0,""percentile_interval_95"":null,""reason"":""descriptive_statistic_unavailable"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,retained_prose,4,hash50,stratum-02,10,10,0,0,,,,"{""contributing_blocks"":0,""contributing_independent_units"":0,""estimate"":null,""executed_repetitions"":0,""minimum_independent_units"":5,""missing_replicates"":0,""percentile_interval_95"":null,""reason"":""descriptive_statistic_unavailable"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,retained_prose,4,hash50,stratum-03,10,10,0,0,,,,"{""contributing_blocks"":0,""contributing_independent_units"":0,""estimate"":null,""executed_repetitions"":0,""minimum_independent_units"":5,""missing_replicates"":0,""percentile_interval_95"":null,""reason"":""descriptive_statistic_unavailable"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,retained_prose,4,middle50,stratum-01,10,10,0,0,,,,"{""contributing_blocks"":0,""contributing_independent_units"":0,""estimate"":null,""executed_repetitions"":0,""minimum_independent_units"":5,""missing_replicates"":0,""percentile_interval_95"":null,""reason"":""descriptive_statistic_unavailable"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,retained_prose,4,middle50,stratum-02,10,10,0,0,,,,"{""contributing_blocks"":0,""contributing_independent_units"":0,""estimate"":null,""executed_repetitions"":0,""minimum_independent_units"":5,""missing_replicates"":0,""percentile_interval_95"":null,""reason"":""descriptive_statistic_unavailable"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,retained_prose,4,middle50,stratum-03,10,10,0,0,,,,"{""contributing_blocks"":0,""contributing_independent_units"":0,""estimate"":null,""executed_repetitions"":0,""minimum_independent_units"":5,""missing_replicates"":0,""percentile_interval_95"":null,""reason"":""descriptive_statistic_unavailable"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,function_mask_v1,4,hash75,stratum-01,10,10,7,7,0.7857142857142857,0.7857142857142857,0.0,"{""contributing_blocks"":7,""contributing_independent_units"":7,""estimate"":0.0,""executed_repetitions"":10000,""minimum_independent_units"":5,""missing_replicates"":6,""percentile_interval_95"":null,""reason"":""missing_bootstrap_statistics_no_silent_reweighting"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,function_mask_v1,4,hash75,stratum-02,10,10,6,6,0.7916666666666666,0.7083333333333334,-0.08333333333333333,"{""contributing_blocks"":6,""contributing_independent_units"":6,""estimate"":-0.08333333333333333,""executed_repetitions"":10000,""minimum_independent_units"":5,""missing_replicates"":10,""percentile_interval_95"":null,""reason"":""missing_bootstrap_statistics_no_silent_reweighting"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,function_mask_v1,4,hash75,stratum-03,10,10,8,8,0.71875,0.6875,-0.03125,"{""contributing_blocks"":8,""contributing_independent_units"":8,""estimate"":-0.03125,""executed_repetitions"":10000,""minimum_independent_units"":5,""missing_replicates"":1,""percentile_interval_95"":null,""reason"":""missing_bootstrap_statistics_no_silent_reweighting"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,function_mask_v1,4,hash50,stratum-01,10,10,0,0,,,,"{""contributing_blocks"":0,""contributing_independent_units"":0,""estimate"":null,""executed_repetitions"":0,""minimum_independent_units"":5,""missing_replicates"":0,""percentile_interval_95"":null,""reason"":""descriptive_statistic_unavailable"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,function_mask_v1,4,hash50,stratum-02,10,10,0,0,,,,"{""contributing_blocks"":0,""contributing_independent_units"":0,""estimate"":null,""executed_repetitions"":0,""minimum_independent_units"":5,""missing_replicates"":0,""percentile_interval_95"":null,""reason"":""descriptive_statistic_unavailable"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,function_mask_v1,4,hash50,stratum-03,10,10,0,0,,,,"{""contributing_blocks"":0,""contributing_independent_units"":0,""estimate"":null,""executed_repetitions"":0,""minimum_independent_units"":5,""missing_replicates"":0,""percentile_interval_95"":null,""reason"":""descriptive_statistic_unavailable"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,function_mask_v1,4,middle50,stratum-01,10,10,0,0,,,,"{""contributing_blocks"":0,""contributing_independent_units"":0,""estimate"":null,""executed_repetitions"":0,""minimum_independent_units"":5,""missing_replicates"":0,""percentile_interval_95"":null,""reason"":""descriptive_statistic_unavailable"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
cosine_distance_v1,function_mask_v1,4,middle50,stratum-02,10,10,0,0,,,,"{""contributing_blocks"":0,""contributing_independent_units"":0,""estimate"":null,""executed_repetitions"":0,""minimum_independent_units"":5,""missing_replicates"":0,""percentile_interval_95"":null,""reason"":""descriptive_statistic_unavailable"",""requested_repetitions"":10000,""shared_draws_sha256"":""659947266f26c12acd85fa1d8196890c3f2169d312b3fe8e700a1f2df6c89eac""}"
